VisitNumber,refund,purchase,TripType,Weekday
209,0,2,31,5
210,1,10,38,5
211,0,4,35,5
214,0,7,42,5
216,0,6,38,5
217,0,5,42,5
218,0,1,5,5
219,0,1,9,5
220,0,4,24,5
221,0,1,8,5
223,0,2,32,5
224,0,18,39,5
225,1,4,8,5
228,0,5,35,5
229,0,2,8,5
232,0,2,8,5
235,0,1,32,5
236,0,3,8,5
238,0,1,9,5
239,0,3,8,5
241,0,2,8,5
245,0,8,32,5
248,0,12,33,5
251,0,6,33,5
252,0,13,35,5
253,1,0,999,5
255,0,55,40,5
256,0,1,37,5
257,0,2,9,5
259,0,15,27,5
261,1,0,999,5
263,0,3,9,5
265,0,2,3,5
267,0,3,8,5
274,0,20,40,5
275,0,6,25,5
277,0,1,9,5
278,0,6,36,5
279,0,1,4,5
281,1,0,999,5
283,0,30,40,5
284,0,1,8,5
285,0,6,5,5
286,0,2,8,5
287,0,35,40,5
288,0,1,31,5
289,0,1,8,5
290,0,2,3,5
291,0,5,9,5
292,0,1,9,5
295,0,1,999,5
298,0,2,9,5
302,0,9,7,5
308,0,3,7,5
309,0,2,8,5
310,0,1,9,5
312,0,3,8,5
313,0,3,8,5
314,0,5,39,5
315,2,23,39,5
316,0,4,34,5
317,1,0,999,5
322,0,2,3,5
323,0,2,9,5
324,0,2,9,5
325,0,2,9,5
326,0,6,36,5
328,0,2,3,5
330,0,4,8,5
333,1,1,999,5
334,0,1,8,5
335,0,1,9,5
341,0,17,39,5
343,0,1,8,5
344,0,1,8,5
346,1,23,33,5
347,0,1,8,5
348,0,1,3,5
349,0,3,32,5
350,0,1,9,5
351,0,2,999,5
357,0,2,999,5
358,0,48,40,5
359,0,2,3,5
360,0,2,6,5
361,0,5,25,5
362,0,8,42,5
363,0,1,9,5
367,0,1,9,5
369,0,1,3,5
371,0,6,18,5
372,0,5,35,5
373,0,2,8,5
375,0,7,42,5
377,0,1,9,5
378,0,15,21,5
379,0,30,40,5
382,0,2,5,5
383,0,8,3,5
384,0,1,8,5
385,0,30,38,5
386,0,12,35,5
387,0,5,25,5
388,0,1,35,5
389,0,3,9,5
390,1,2,8,5
393,0,8,39,5
394,0,9,35,5
396,0,5,29,5
397,0,8,37,5
398,0,4,27,5
399,0,4,3,5
400,1,0,999,5
402,0,3,25,5
403,1,0,999,5
407,1,0,999,5
408,0,9,43,5
409,1,0,999,5
412,0,2,3,5
413,0,5,7,5
418,0,1,5,5
419,1,2,20,5
420,0,3,9,5
421,0,22,42,5
425,0,2,3,5
427,0,22,40,5
430,0,5,39,5
431,0,7,39,5
433,0,1,4,5
436,0,1,999,5
437,1,0,999,5
446,0,6,33,5
447,0,2,5,5
448,0,1,8,5
449,0,4,25,5
452,0,2,29,5
453,0,15,39,5
456,0,2,3,5
457,0,7,44,5
458,0,5,32,5
460,0,4,5,5
461,0,4,20,5
462,0,5,25,5
465,0,2,3,5
466,0,5,38,5
468,0,3,8,5
472,0,6,4,5
473,0,4,38,5
474,0,4,36,5
475,0,10,27,5
476,0,1,999,5
479,0,10,39,5
481,0,4,24,5
482,0,5,25,5
484,4,0,999,5
487,0,2,7,5
488,0,2,8,5
491,0,4,39,5
494,0,7,36,5
496,0,10,44,5
497,0,2,3,5
499,0,2,9,5
500,0,3,7,5
501,0,3,9,5
503,0,8,3,5
504,0,2,9,5
505,0,5,36,5
507,0,4,25,5
511,0,2,999,5
513,0,9,42,5
514,0,1,9,5
516,0,2,8,5
517,0,17,39,5
519,0,3,9,5
521,0,1,5,5
522,0,6,42,5
524,0,2,3,5
531,0,4,38,5
534,0,3,8,5
538,0,6,33,5
540,0,2,999,5
542,0,7,39,5
549,0,28,40,5
550,0,5,32,5
551,0,2,999,5
553,0,25,42,5
554,0,1,9,5
556,0,2,9,5
558,0,12,39,5
562,0,2,9,5
563,0,4,30,5
565,0,1,8,5
566,0,2,999,5
567,0,10,25,5
569,0,3,8,5
570,0,4,33,5
574,2,0,999,5
576,0,2,25,5
577,0,11,38,5
578,0,1,3,5
580,0,3,9,5
581,2,2,999,5
583,1,0,999,5
584,0,15,39,5
585,0,1,5,5
589,1,4,8,5
592,0,38,40,5
593,0,37,18,5
594,0,6,26,5
604,1,6,25,5
605,0,4,7,5
613,0,1,6,5
614,0,7,36,5
615,0,2,3,5
619,0,3,5,5
620,0,2,8,5
621,0,2,3,5
626,0,3,24,5
627,0,4,25,5
628,0,9,42,5
629,0,12,24,5
630,0,2,7,5
631,0,9,36,5
638,0,3,24,5
639,0,2,3,5
640,0,7,5,5
644,0,3,9,5
645,0,9,35,5
646,0,1,9,5
647,0,3,7,5
648,0,3,9,5
650,1,0,999,5
651,0,2,3,5
652,0,3,9,5
653,0,2,35,5
654,0,2,8,5
657,0,3,8,5
661,1,0,999,5
664,0,2,3,5
666,0,5,31,5
668,0,2,9,5
669,0,2,7,5
670,0,1,9,5
676,0,14,15,5
679,0,2,8,5
680,0,4,36,5
683,0,3,5,5
684,2,1,999,5
685,1,1,999,5
686,0,6,36,5
687,0,6,5,5
688,0,5,39,5
690,0,14,38,5
693,1,0,999,5
696,0,14,39,5
699,0,9,18,5
700,0,1,3,5
701,0,2,9,5
702,0,2,8,5
715,0,1,8,5
716,0,14,37,5
717,0,6,3,5
718,0,3,8,5
719,0,2,9,5
720,0,1,8,5
721,0,3,7,5
722,0,4,37,5
724,0,5,31,5
725,1,66,40,5
728,0,2,3,5
729,0,7,39,5
731,0,13,38,5
732,0,1,30,5
734,0,1,9,5
735,0,5,37,5
736,0,4,25,5
737,0,5,30,5
741,0,8,30,5
743,0,2,3,5
745,0,6,42,5
747,0,9,39,5
750,0,6,43,5
754,1,0,999,5
760,0,1,7,5
762,0,5,36,5
765,0,3,24,5
767,0,6,24,5
770,0,1,5,5
772,0,3,25,5
773,2,1,999,5
775,0,1,3,5
776,0,9,43,5
778,0,1,8,5
781,1,1,999,5
784,0,26,40,5
785,0,3,8,5
787,0,1,5,5
792,0,6,37,5
794,0,1,8,5
796,0,4,36,5
798,0,2,8,5
800,0,5,7,5
801,0,4,35,5
802,0,4,7,5
804,0,2,3,5
806,0,13,39,5
808,0,13,39,5
814,0,2,3,5
815,0,1,999,5
816,0,4,41,5
817,0,5,36,5
818,0,2,3,5
819,0,3,8,5
821,0,4,18,5
825,0,1,5,5
826,0,4,25,5
828,0,17,27,5
829,2,0,999,5
831,0,10,39,5
834,0,2,9,5
837,0,1,8,5
838,0,6,3,5
839,0,6,5,5
841,0,1,3,5
844,0,2,999,5
845,0,4,32,5
847,0,3,9,5
848,0,9,31,5
851,0,1,8,5
852,0,4,38,5
856,0,2,9,5
858,0,2,3,5
860,0,2,9,5
861,0,2,3,5
863,0,10,5,5
867,0,3,9,5
868,0,7,39,5
871,0,24,26,5
873,0,2,30,5
876,0,1,9,5
879,0,1,8,5
880,0,12,42,5
881,0,1,19,5
882,1,0,999,5
885,0,6,7,5
888,0,2,3,5
890,0,7,39,5
891,0,3,9,5
896,0,2,6,5
897,0,2,5,5
898,0,3,9,5
903,0,11,24,5
904,1,0,999,5
905,0,3,9,5
906,0,18,7,5
908,0,21,40,5
909,0,1,37,5
910,0,4,999,5
913,0,3,8,5
914,0,1,999,5
915,0,1,5,5
921,0,2,9,5
924,0,20,36,5
925,0,7,21,5
927,0,12,40,5
928,2,0,999,5
930,0,8,32,5
934,0,2,9,5
935,0,2,9,5
936,1,0,999,5
938,0,3,9,5
942,0,2,3,5
943,0,5,25,5
944,0,2,3,5
946,0,2,9,5
947,0,3,5,5
949,0,3,8,5
950,1,1,999,5
954,0,1,3,5
955,0,1,8,5
956,0,1,8,5
957,0,10,42,5
958,0,6,36,5
962,0,9,36,5
965,0,9,36,5
966,0,1,8,5
973,1,0,999,5
974,0,2,8,5
975,0,1,7,5
978,1,45,40,5
982,3,0,999,5
984,0,1,33,5
985,0,11,39,5
987,0,3,9,5
990,0,21,40,5
991,0,11,7,5
994,0,1,9,5
996,0,1,9,5
997,0,2,8,5
998,0,3,9,5
999,0,3,9,5
1000,0,1,9,5
1002,0,2,999,5
1003,0,11,40,5
1004,0,22,40,5
1006,0,13,38,5
1009,0,6,43,5
1012,0,9,7,5
1013,1,0,999,5
1015,0,3,8,5
1017,0,1,24,5
1018,0,5,25,5
1021,0,4,7,5
1022,0,3,32,5
1025,0,39,40,5
1028,0,7,25,5
1029,0,1,7,5
1031,0,3,9,5
1032,1,0,999,5
1034,0,10,27,5
1035,0,4,35,5
1036,0,1,5,5
1037,0,3,3,5
1038,0,2,9,5
1040,0,11,21,5
1041,0,14,24,5
1042,0,6,37,5
1043,0,2,9,5
1044,0,3,7,5
1046,0,11,39,5
1048,0,12,39,5
1049,1,0,999,5
1050,0,2,8,5
1052,0,10,15,5
1055,0,4,32,5
1056,0,1,3,5
1057,0,5,5,5
1059,0,1,8,5
1060,0,1,8,5
1064,0,1,5,5
1065,0,24,40,5
1067,0,2,999,5
1068,0,4,23,5
1069,0,15,33,5
1070,0,2,999,5
1071,1,35,40,5
1072,2,17,33,5
1073,0,1,5,5
1077,0,1,8,5
1079,0,8,24,5
1080,0,2,8,5
1081,1,15,39,5
1085,0,19,37,5
1087,0,1,9,5
1088,1,6,999,5
1090,0,2,8,5
1092,0,4,5,5
1093,0,1,7,5
1094,0,4,36,5
1095,0,6,39,5
1099,0,23,37,5
1103,0,1,8,5
1105,0,12,41,5
1108,0,6,39,5
1109,0,7,15,5
1111,0,1,8,5
1114,0,2,9,5
1115,0,5,39,5
1116,0,7,15,5
1117,0,1,7,5
1120,1,1,999,5
1124,0,5,39,5
1130,0,27,40,5
1131,0,1,22,5
1134,1,52,40,5
1136,0,1,19,5
1137,0,2,31,5
1138,0,2,3,5
1141,0,3,8,5
1142,0,16,7,5
1143,0,3,8,5
1144,0,1,9,5
1145,0,2,3,5
1152,0,3,8,5
1156,0,3,8,5
1157,0,1,31,5
1160,1,0,999,5
1162,0,1,5,5
1163,0,14,39,5
1164,0,5,21,5
1165,0,2,3,5
1167,0,2,8,5
1169,0,18,27,5
1170,0,1,5,5
1171,0,17,39,5
1176,0,1,7,5
1178,0,8,7,5
1179,0,35,40,5
1180,0,5,36,5
1182,0,1,9,5
1184,0,4,7,5
1187,0,22,38,5
1188,0,2,7,5
1189,0,4,3,5
1190,0,1,29,5
1191,0,11,35,5
1194,0,1,5,5
1195,0,10,27,5
1196,0,1,999,5
1199,0,2,3,5
1200,0,24,40,5
1201,0,22,40,5
1206,0,11,33,5
1207,1,0,999,5
1209,0,1,9,5
1210,1,17,40,5
1211,0,3,24,5
1216,0,2,22,5
1217,0,16,33,5
1218,0,15,24,5
1220,0,11,39,5
1221,0,23,40,5
1222,0,17,39,5
1223,0,1,9,5
1224,0,2,5,5
1227,0,6,18,5
1228,0,2,24,5
1229,0,2,3,5
1231,0,10,39,5
1233,0,1,9,5
1234,1,1,999,5
1235,1,0,999,5
1236,0,12,44,5
1237,0,1,8,5
1239,0,2,3,5
1243,0,3,25,5
1246,0,15,39,5
1247,0,1,8,5
1250,0,2,8,5
1251,0,2,7,5
1252,0,4,7,5
1253,0,2,6,5
1259,0,3,9,5
1260,0,2,8,5
1262,0,23,24,5
1264,0,2,8,5
1267,0,7,27,5
1269,0,9,43,5
1271,0,2,999,5
1274,1,0,999,5
1275,0,18,42,5
1276,0,17,24,5
1277,0,1,999,5
1279,0,2,7,5
1280,0,1,5,5
1282,0,2,3,5
1283,0,20,40,5
1286,0,12,42,5
1290,0,2,3,5
1292,0,3,3,5
1293,2,8,43,5
1298,0,9,25,5
1300,0,12,39,5
1306,0,18,38,5
1307,0,7,25,5
1310,0,2,9,5
1312,0,1,8,5
1314,0,6,5,5
1316,0,5,7,5
1317,0,13,7,5
1319,0,2,9,5
1320,0,2,5,5
1321,0,11,34,5
1328,0,1,4,5
1330,0,5,41,5
1331,0,3,8,5
1335,0,2,8,5
1337,0,2,8,5
1338,0,7,36,5
1340,0,8,41,5
1341,0,3,8,5
1342,0,1,9,5
1345,0,6,15,5
1346,0,1,36,5
1348,0,2,9,5
1349,0,2,3,5
1353,1,14,37,5
1354,0,1,22,5
1355,0,3,9,5
1356,2,30,40,5
1358,0,4,21,5
1360,0,5,15,5
1362,0,26,38,5
1363,0,7,15,5
1364,0,3,5,5
1365,0,12,39,5
1366,0,2,7,5
1368,1,1,999,5
1371,0,9,36,5
1373,0,2,8,5
1376,0,10,39,5
1379,1,2,24,5
1381,0,6,7,5
1382,0,3,8,5
1383,0,10,39,5
1385,0,25,44,5
1389,0,1,22,5
1390,0,3,7,5
1392,0,1,5,5
1393,0,2,9,5
1394,1,7,36,5
1395,0,5,32,5
1396,0,17,43,5
1397,0,3,8,5
1399,0,2,8,5
1400,0,2,3,5
1402,0,1,5,5
1406,0,2,3,5
1409,0,26,40,5
1411,1,0,999,5
1412,0,15,39,5
1415,0,1,999,5
1419,0,1,8,5
1422,0,49,40,5
1423,0,3,9,5
1424,1,0,999,5
1425,0,1,5,5
1426,0,3,32,5
1427,0,14,33,5
1429,0,6,36,5
1430,1,12,39,5
1431,0,8,32,5
1432,0,1,8,5
1436,0,4,7,5
1438,1,0,999,5
1439,0,10,39,5
1440,0,2,9,5
1448,4,13,39,5
1449,0,2,9,5
1450,0,6,36,5
1451,0,4,39,5
1452,0,2,3,5
1453,0,4,27,5
1455,0,3,8,5
1458,0,4,25,5
1459,1,3,7,5
1460,1,1,999,5
1466,1,1,999,5
1467,0,4,5,5
1469,0,5,7,5
1471,0,10,35,5
1474,0,1,8,5
1476,0,1,5,5
1478,0,2,7,5
1484,0,3,24,5
1487,0,2,5,5
1488,0,8,26,5
1490,0,4,7,5
1494,0,2,9,5
1495,0,1,3,5
1496,0,1,22,5
1497,0,9,32,5
1498,0,2,999,5
1499,0,2,9,5
1503,0,11,42,5
1504,1,2,999,5
1506,0,3,9,5
1508,0,2,5,5
1513,0,7,38,5
1516,0,1,30,5
1518,1,0,999,5
1520,0,2,5,5
1521,0,11,38,5
1523,0,12,39,5
1527,0,2,7,5
1529,0,1,8,5
1533,0,24,37,5
1534,0,1,24,5
1535,0,50,40,5
1536,0,2,3,5
1537,0,2,3,5
1538,0,25,35,5
1539,0,4,5,5
1546,0,2,25,5
1547,0,2,3,5
1550,0,9,6,5
1552,0,1,7,5
1553,0,7,27,5
1554,0,2,9,5
1556,0,2,3,5
1559,0,23,40,5
1561,0,1,9,5
1562,0,5,38,5
1564,0,9,22,5
1565,0,3,8,5
1568,0,1,9,5
1570,1,15,39,5
1575,1,6,4,5
1576,0,2,5,5
1579,3,3,999,5
1581,0,4,7,5
1587,0,9,26,5
1589,0,5,7,5
1590,0,3,26,5
1591,0,1,3,5
1592,0,7,39,5
1593,0,4,5,5
1597,0,10,5,5
1599,0,3,9,5
1602,0,1,7,5
1603,0,1,5,5
1604,0,4,36,5
1607,0,10,21,5
1611,0,3,7,5
1612,0,1,5,5
1613,0,2,9,5
1614,1,0,999,5
1615,0,8,24,5
1618,0,3,5,5
1620,0,7,20,5
1622,0,1,24,5
1624,0,4,7,5
1625,0,3,41,5
1627,1,7,36,5
1628,0,3,9,5
1630,0,1,3,5
1631,0,2,3,5
1632,0,24,40,5
1634,0,27,40,5
1635,0,37,40,5
1636,0,4,35,5
1638,0,33,40,5
1639,0,2,3,5
1640,0,4,27,5
1641,0,5,37,5
1645,0,3,7,5
1647,0,6,44,5
1648,0,4,7,5
1652,0,3,5,5
1653,0,1,7,5
1657,0,28,40,5
1658,0,3,9,5
1659,0,38,40,5
1660,0,15,42,5
1661,1,20,39,5
1662,0,1,28,5
1663,1,2,999,5
1664,2,28,15,5
1666,0,2,3,5
1671,0,1,8,5
1672,0,6,43,5
1673,0,1,7,5
1674,1,10,999,5
1676,0,2,5,5
1677,0,25,40,5
1678,0,8,35,5
1680,0,5,39,5
1681,0,2,8,5
1682,4,0,999,5
1684,0,2,8,5
1690,0,14,39,5
1691,0,18,39,5
1694,0,3,8,5
1696,0,3,8,5
1697,0,1,3,5
1699,0,1,8,5
1700,0,4,7,5
1701,0,2,8,5
1702,0,1,8,5
1703,0,9,43,5
1705,10,1,999,5
1709,1,0,999,5
1710,0,19,37,5
1711,0,2,8,5
1712,0,12,39,5
1713,0,2,9,5
1716,0,4,20,5
1717,0,1,8,5
1718,0,9,38,5
1720,0,13,38,5
1723,0,4,25,5
1725,0,2,26,5
1726,0,1,9,5
1728,0,2,3,5
1729,0,3,5,5
1731,0,6,24,5
1734,0,30,40,5
1735,0,2,3,5
1736,0,4,35,5
1738,1,2,8,5
1739,0,1,9,5
1740,0,25,40,5
1741,0,4,39,5
1743,0,1,32,5
1744,0,2,24,5
1745,0,2,8,5
1748,1,38,40,5
1760,0,1,9,5
1762,0,6,36,5
1764,0,3,9,5
1766,1,28,37,5
1768,0,1,8,5
1771,0,7,39,5
1772,0,1,8,5
1773,0,30,40,5
1775,0,7,39,5
1776,2,5,9,5
1779,0,10,36,5
1782,0,16,44,5
1783,1,1,999,5
1784,0,3,8,5
1785,0,18,39,5
1786,0,7,29,5
1787,0,2,8,5
1790,0,2,3,5
1793,0,2,8,5
1794,0,4,38,5
1795,0,2,5,5
1796,0,3,33,5
1797,0,2,8,5
1799,0,2,9,5
1800,0,3,37,5
1803,0,10,44,5
1804,0,4,35,5
1805,0,4,37,5
1806,0,2,6,5
1808,0,8,25,5
1812,0,1,5,5
1815,0,5,39,5
1816,0,2,20,5
1821,2,8,24,5
1824,0,2,8,5
1826,0,16,39,5
1827,0,6,5,5
1831,0,2,3,5
1835,0,2,7,5
1836,0,7,32,5
1837,0,1,8,5
1838,0,1,3,5
1840,0,1,999,5
1841,0,9,26,5
1843,1,0,999,5
1844,1,1,999,5
1845,0,3,8,5
1851,0,5,5,5
1853,0,5,25,5
1854,0,9,36,5
1856,4,0,999,5
1860,0,7,5,5
1861,0,1,8,5
1862,0,2,3,5
1864,0,10,39,5
1867,1,16,15,5
1868,0,46,25,5
1869,6,44,41,5
1871,0,26,5,5
1872,0,1,8,5
1873,0,13,39,5
1877,0,2,3,5
1879,0,2,5,5
1881,0,4,999,5
1885,0,6,32,5
1886,0,2,8,5
1887,0,1,8,5
1889,0,6,999,5
1895,0,5,38,5
1896,0,8,3,5
1898,0,1,9,5
1901,1,16,39,5
1903,0,6,5,5
1905,0,13,37,5
1906,1,3,7,5
1907,0,4,7,5
1909,0,7,20,5
1911,0,1,8,5
1915,0,3,37,5
1916,0,1,8,5
1918,0,27,37,5
1919,1,0,999,5
1920,0,7,36,5
1922,0,5,21,5
1926,0,5,18,5
1927,0,1,8,5
1928,0,3,7,5
1937,0,13,44,5
1939,0,1,9,5
1940,0,8,37,5
1942,0,24,40,5
1943,2,2,999,5
1945,0,11,39,5
1946,0,4,35,5
1948,0,1,8,5
1951,0,1,8,5
1953,0,6,35,5
1955,0,6,24,5
1957,0,6,20,5
1958,0,8,42,5
1959,0,2,3,5
1962,0,6,39,5
1964,0,1,8,5
1965,1,1,999,5
1966,1,25,38,5
1968,0,2,3,5
1970,0,16,37,5
1971,0,12,39,5
1974,0,7,38,5
1978,0,10,36,5
1980,0,3,7,5
1981,0,12,36,5
1982,0,3,9,5
1984,0,3,9,5
1990,0,1,8,5
1991,0,3,9,5
1992,0,7,38,5
1994,0,7,7,5
1996,1,0,999,5
1997,0,9,39,5
1998,0,2,8,5
1999,0,4,28,5
2001,0,14,25,5
2002,0,12,39,5
2004,0,1,999,5
2005,0,18,42,5
2006,0,15,39,5
2007,0,17,40,5
2010,0,12,34,5
2011,0,2,999,5
2013,0,1,8,5
2014,0,3,8,5
2015,0,1,9,5
2016,0,1,5,5
2017,0,59,40,5
2018,0,18,39,5
2019,0,2,999,5
2020,0,2,999,5
2023,0,1,8,5
2024,0,2,8,5
2026,0,9,30,5
2027,0,2,9,5
2028,1,4,34,5
2030,0,1,5,5
2031,0,1,3,5
2033,0,1,8,5
2034,0,5,42,5
2035,0,25,40,5
2037,0,4,7,5
2039,0,1,9,5
2043,0,13,39,5
2044,0,1,9,5
2045,0,2,3,5
2046,0,26,40,5
2047,0,1,9,5
2052,0,1,5,5
2053,0,2,8,5
2059,0,1,8,5
2060,0,1,8,5
2062,0,3,7,5
2064,0,5,37,5
2065,0,2,7,5
2070,0,20,38,5
2072,0,7,5,5
2075,1,0,999,5
2076,0,1,28,5
2077,0,5,41,5
2078,0,27,38,5
2080,0,17,40,5
2081,0,31,24,5
2082,0,1,34,5
2083,0,6,27,5
2084,0,9,35,5
2089,0,2,999,5
2090,0,9,39,5
2091,0,12,38,5
2092,0,1,9,5
2093,0,4,24,5
2096,0,7,7,5
2098,0,6,39,5
2099,0,18,35,5
2100,0,1,999,5
2101,0,5,25,5
2104,0,4,39,5
2107,0,1,999,5
2109,0,1,3,5
2111,0,8,39,5
2113,2,1,999,5
2115,0,58,40,5
2118,0,1,7,5
2120,0,4,34,5
2122,0,2,999,5
2125,0,16,39,5
2127,0,1,7,5
2128,0,2,999,5
2132,0,2,3,5
2135,0,14,43,5
2137,0,2,8,5
2138,0,2,8,5
2140,0,15,44,5
2142,0,3,5,5
2143,0,2,9,5
2147,0,5,27,5
2151,0,1,8,5
2152,0,48,24,5
2154,2,9,14,5
2155,0,1,3,5
2157,0,3,8,5
2158,0,14,27,5
2159,2,2,999,5
2161,0,1,8,5
2163,0,2,3,5
2164,0,13,35,5
2167,0,8,43,5
2168,0,10,37,5
2169,0,7,6,5
2172,0,3,5,5
2173,0,18,39,5
2174,0,37,40,5
2175,0,2,9,5
2176,0,4,3,5
2178,0,3,8,5
2179,0,16,37,5
2181,0,2,31,5
2185,0,5,39,5
2186,0,1,8,5
2187,0,3,8,5
2189,0,13,36,5
2190,0,1,999,5
2191,0,2,9,5
2198,0,7,7,5
2199,0,1,8,5
2200,0,1,9,5
2201,0,39,37,5
2203,1,1,999,5
2206,0,2,9,5
2207,0,15,37,5
2208,0,22,44,5
2209,0,3,8,5
2211,0,1,8,5
2212,0,2,9,5
2215,0,5,33,5
2216,0,11,42,5
2217,0,3,9,5
2219,0,34,27,5
2220,0,1,9,5
2222,0,4,18,5
2226,0,13,39,5
2227,0,2,8,5
2228,1,25,40,5
2230,0,1,999,5
2232,0,12,25,5
2234,0,3,20,5
2235,0,7,38,5
2236,0,2,9,5
2237,0,1,7,5
2238,0,7,5,5
2239,0,2,3,5
2240,0,26,40,5
2241,0,1,8,5
2242,0,2,8,5
2244,0,2,9,5
2245,1,0,999,5
2248,0,6,35,5
2250,0,2,3,5
2254,0,7,35,5
2258,0,18,38,5
2260,0,4,35,5
2262,0,1,8,5
2263,0,2,3,5
2265,0,1,8,5
2266,0,2,30,5
2267,0,22,40,5
2269,0,28,40,5
2270,0,9,38,5
2272,0,1,9,5
2274,0,2,999,5
2275,0,16,39,5
2276,0,6,44,5
2279,0,1,9,5
2281,0,1,5,5
2282,0,2,999,5
2283,0,32,40,5
2284,1,2,8,5
2286,0,1,8,5
2287,0,7,21,5
2288,0,5,37,5
2290,0,6,39,5
2292,1,0,999,5
2293,1,0,999,5
2294,0,2,8,5
2295,0,2,22,5
2296,0,6,5,5
2299,0,3,29,5
2305,0,4,36,5
2314,0,10,7,5
2315,0,3,7,5
2318,0,10,39,5
2319,0,44,21,5
2320,0,4,3,5
2321,1,1,999,5
2324,0,1,9,5
2327,0,15,42,5
2328,0,3,9,5
2330,0,5,7,5
2331,0,1,5,5
2335,0,11,42,5
2336,0,14,37,5
2337,0,4,20,5
2338,0,12,38,5
2339,0,12,32,5
2340,0,8,42,5
2344,0,6,25,5
2349,0,2,3,5
2351,0,5,39,5
2354,0,2,3,5
2366,0,7,39,5
2367,0,2,3,5
2368,0,19,25,5
2371,0,13,39,5
2374,0,1,5,5
2376,0,2,999,5
2377,0,1,8,5
2380,0,5,39,5
2381,0,2,3,5
2382,1,0,999,5
2385,0,3,8,5
2386,0,3,8,5
2387,0,2,3,5
2388,0,5,7,5
2390,0,1,5,5
2394,0,17,38,5
2395,1,0,999,5
2398,0,4,8,5
2400,0,3,8,5
2404,0,8,15,5
2405,0,5,34,5
2406,0,7,20,5
2407,0,2,3,5
2408,0,6,35,5
2410,0,16,39,5
2412,1,8,7,5
2413,0,2,8,5
2414,0,1,8,5
2415,0,1,8,5
2419,1,5,41,5
2423,0,12,15,5
2424,0,18,38,5
2425,1,1,999,5
2427,0,1,9,5
2429,0,4,35,5
2431,0,2,5,5
2434,0,10,5,5
2440,0,59,40,5
2444,0,3,8,5
2447,0,3,22,5
2451,0,2,3,5
2456,1,17,39,5
2457,0,5,15,5
2459,6,1,999,5
2461,1,10,32,5
2463,0,10,37,5
2464,1,1,999,5
2466,0,9,25,5
2467,1,0,999,5
2471,0,5,35,5
2475,0,3,8,5
2476,0,4,35,5
2479,0,1,8,5
2480,0,1,5,5
2482,0,15,39,5
2483,0,34,40,5
2484,0,2,8,5
2485,0,3,7,5
2487,0,3,9,5
2489,0,5,5,5
2491,0,21,27,5
2492,0,8,3,5
2498,0,17,24,5
2499,0,25,40,5
2500,0,2,9,5
2505,0,1,8,5
2506,1,3,7,5
2507,0,11,24,5
2509,0,16,39,5
2510,0,22,40,5
2512,1,0,999,5
2514,0,2,5,5
2515,0,4,18,5
2517,0,5,27,5
2518,0,4,32,5
2519,0,5,34,5
2521,0,2,9,5
2522,0,2,3,5
2523,0,2,9,5
2524,2,0,999,5
2525,0,15,24,5
2527,0,5,32,5
2528,0,2,9,5
2533,0,2,9,5
2534,0,2,9,5
2535,0,2,7,5
2536,0,2,8,5
2539,0,1,8,5
2540,0,5,25,5
2543,0,6,18,5
2544,0,1,8,5
2546,0,2,5,5
2549,0,11,39,5
2550,0,4,33,5
2551,0,6,36,5
2552,0,7,39,5
2553,0,2,8,5
2554,0,74,40,5
2557,0,1,9,5
2558,0,2,28,5
2561,0,1,9,5
2564,0,5,42,5
2566,1,15,37,5
